Size	FFTIR	FFTW
25	0.23 	0.26 
49	0.49 	0.37 
81	0.73 	0.41 
225	1.44 	0.45 
343	1.08 	0.42 
441	1.08 	0.42 
567	1.08 	0.41 
729	1.30 	0.41 
875	1.35 	0.49 
1125	1.69 	0.52 
2835	1.28 	0.44 
3969	1.34 	0.42 
5625	1.75 	0.49 
15435	1.36 	0.44 
19845	1.34 	0.43 
27783	1.35 	0.41 
35721	1.29 	0.41 
42875	1.48 	0.45 
55125	1.44 	0.47 
77175	1.43 	0.46 
